Category	Text
rec.autos	re top reasons why i love cr not for the humor impaired in article apr magnus acs ohio state edu jnielsen magnus acs ohio state edu john f nielsen writes in article apr metrics com tomh metrics com tom haapanen writes chints iscs nus sg writes here are another ten reasons why we should all love cr car salesmen love their new car buying service and later on buying a cr idealized family sedan and my number the spectacle of the religious fervour of the cr true believers or the spectacle of macho real men who would never bother to read the magazine but are more than apt to criticize it hey i m a macho real man and i do read it so i can criticize it all i want especially since i pay for the publication they accept no outside advertising don t you know john nielsen magnus consultant to you baldrick the renaissance was just something that happened to other people wasn t it the black adder relying on consumer reports to pick your automobiles is like letting field stream select your living room furniture kenneth finnegan navo navy mil
rec.autos	re lh car order delay i read an article in the chicago tribune stating that chrysler is having problems addressing the demand for the l engine for it s lh cars can anyone post how long they are waiting for an ordered car or how long they have been told they ll have to wait ordered mine december got it nine weeks later but the dealer said that new orders were being held up he didn t expect to see any more l engine lhs for awhile andrew klossner andrew frip wv tek com
rec.autos	re male female mystery re dumbest automotive concepts of all time in article pq tkinnbek chester ksu ksu edu bets chester ksu ksu edu beth schwindt writes besides which where would men put all their crap if their wives didn t carry purses beth my wife rarely carries a purse so all of her crap ends up in my pockets ron deblock rdb homxb att com that s a number in rdb not letter l at t bell labs somerset nj usa
rec.autos	illegal tint windows i know it s a long shot but maybe someone went through this and will have some comments to share the story is this i bought a car out of state and i m trying to get the safety inspection in pennsylvania the problem is that the car has aftermarket tint on all windows except the windshield the tint is rather weak and you can clearly see the inside of the car through the tint the inspection garage said that they won t pass it unless i get a waiver from the state police so i went to the state police the officer told me that aftermarket tint is illegal and i can get a waiver only for a pre car or for a medical reason i asked him to show me the section of the vehicle code that says it s illegal he showed it to me and the paraghaph said that you can t have tint if you can t see the inside of the car because of the tint when i told him that you can in fact see the inside very well he shut the book and said it s just illegal and in fact we can have someone give you a ticket for it right now well won t argue with that since the vehicle code says it s ok as long as you can see through the tint i d like to keep it i ll re read the vehicle code in the library i d also like to get some sort of paper from the police that says it s ok so i can get the inspection and so that i won t get in trouble for the tint later on i also wouldn t mind registering a complaint against that officer he really pissed me off so does anyone have any experience getting that sort of a paper from the police especially in pennsylvania does anyone have any experience registering a complaint against an officer i called the station later on today but they basically said there is no place where i could register a complaint against an officer and if i do decide to keep the tint and get a ticket anyway how much of a chance do i stand to succesfully appeal the ticket in court any comments about it will be welcome michal
rec.autos	re top reasons why i love cr not for the humor impaired in article apr magnus acs ohio state edu jnielsen magnus acs ohio state edu john f nielsen writes blah blah blah ok if you are so right name a few good examples that were brought up let s create a new group rec autos cr is right no its not yes it is oh yeah my father can lick your father eliot
rec.autos	re new saturn argument in article c p m o noose ecn purdue edu rjwade rainbow ecn purdue edu robert j wade writes ok how about this to argue about why does the sl have a much lower base price than the sc it s over k cheaper i forget the exact amount doesn t it cost more to have the extra doors windows locks motors etc that are in the door perhaps it is just a marketing deal people want the door so they will pay the extra k the sc sc has a shorter wheel base than the sl sl sl sw sw just a thought ithink your right though james lee a t t bell labs murray hill n j room a att conceps jwl
rec.autos	chevelle ss forsale i don t want to sell this car but i need money for college chevelle super sport rebuilt four speed bolt positrac numbers match original miles no rust looks and runs excellent or best offer call dennis at or email dennisk cs uoregon edu
rec.autos	re top reasons why i love cr not for the humor impaired in article apr cs tulane edu finnegan navo navy mil writes in article apr magnus acs ohio state edu jnielsen magnus acs ohio state edu john f nielsen writes in article apr metrics com tomh metrics com tom haapanen writes chints iscs nus sg writes here are another ten reasons why we should all love cr car salesmen love their new car buying service and later on buying a cr idealized family sedan and my number the spectacle of the religious fervour of the cr true believers or the spectacle of macho real men who would never bother to read the magazine but are more than apt to criticize it hey i m a macho real man and i do read it so i can criticize it all i want especially since i pay for the publication they accept no outside advertising don t you know john nielsen magnus consultant to you baldrick the renaissance was just something that happened to other people wasn t it the black adder relying on consumer reports to pick your automobiles is like letting field stream select your living room furniture kenneth finnegan navo navy mil no one should ever rely on just a magazine to determine what car they buy i don t care what magazine btw i subscribe to three other auto rags i just think cu is getting a bum rap by these macho men from hell who think real men should read statements like what you said above have no meaning people keep on saying cu is only good for dishwashing detergent or as you said relying on consumer reports is like and that is all they say if there were as critical of themsevles as they are of cu maybe there would be some real content john john nielsen magnus consultant to you baldrick the renaissance was just something that happened to other people wasn t it the black adder
rec.autos	impreza altima or what a friend of mine is cnsidering buying a new car and is considering the subaru impreza or the nissan altima right now which of these two cars would you recommend we definately want an airbag and abs and room for tall people and long legs if you have other suggestions for cars under k after dealing i d be interested in you opinions as well please send replies to sem postoffice mail cornell edu no tthis address thanks scott
rec.autos	re advise needed in buying automobile from thwang mentor cc purdue edu tommy hwang subject advise needed in buying automobile i am in search of a dependable automobile to purchase below are its requirements v or above most of the cars you mentioned are below smaller than v engine tony name antonio l balsamo company digital equipment corp shrewsbury mass work e mail balsamo stargl enet dec com
rec.autos	re integra gsr quad reliable yeah what s your definition of reliable if that s reliable then its safe to say that integra engines in general are near perfect not to mention a hell of alot smoother and quieter balance shafts the acura has the engine wins the reliablity contest hands down you can rev that car all day everyday and you ll never blow a hose or crack the block or anything else i speak from expierence i m not saying the quad is a bad engine but don t highlight reliability when you comparing it to a acura engine and while the integra costs alot more it is a a couple of things blowing a hose doesn t speak of engine reliability and while it is true that quad s have a problem with head gasket leaks that was a design flaw in the gasket and has been corrected also i know pontiac is replacing head gaskets that leak for free for year k miles other than that i have found my quad to be completely solid and the direct ignition system means no wires rotor rotor cap to ever deal with also hydrolic lifters mean no valve adjustments ever i m not badmouthing the integra engine i just think you are going overboard on slamming the quad you are quite correct that the integra engine is quieter although i would not say smoother my quad loves to rev especially at the high end do you have any evidence of blocks cracking on quad s i have not heard of this
rec.autos	re most bang for between and in article oasys dt navy mil tobias oasys dt navy mil steve tobias writes in rec autos cpkjp vm cc latech edu kevin parker writes i d like to get some feedback on a car with most bang for the buck in the to price range i m looking for a car with enough civility to be driven every day or even on long trips but when i hit the gas i want to feel some acceleration handling is important also as are reliability and pretty low maintenance costs a stylish appearance is nice but i don t want a car that is all show and not much go even though many of the imports are fast i don t really want a turbo and i never have cared for the song sung by a four clyinder i d prefer a v or v for the engine if you have any suggestions kevin parker there s only one car that really fits your needs it s spelled liter mustang not sorry he said cvility long trips reliability and low maintenance cost
rec.autos	re necessity of fuel injector cleaning by dealership in article apr acd acd com jwg sedv acd com jim grey writes in article apr cbnewsl cb att com prm cbnewsl cb att com paul r mount writes in your experience how true is it that a fuel injector cleaning will do much more good than just using detergent gas while i agree that a clogged fuel injector would darken my day how clogged do they get and is a good price or can i do it myself by buying a can of what and doing what a fuel injector cleaning at the dealer is probably little more than them opening your gas tank dumping in a bottle of fuel injector cleaner and sending you on your merry way poorer go to kmart and buy the cleaner yourself for personally i wouldn t use the product from kmart i knew about this previously but this past weekend on pbs s motorweek pat goss their resident tech type discussed these products and recommends not using them i e the non isopropyl alcohlo based injector cleaners supposedly only the isopropyl based cleaners actually remove moisture from your fuel tank as they clean your injectors and although the others ethyl based do clean injectors they also cause rubber components in the fuel system to deteriorate and they don t mix well with water to help remove it from the fuel system i use a product recommended by vw called k by bg products inc it cost more about but it is supposed to do the job without the potential harmful side effects and its results are supposed to last from k to k miles i have also used chevron s techtrolene sp i can t say that i have noticed any difference using either since i only use these product as a preventative maintenance item just because you dealer sez you need it don t mean it s necessarily so be suspicious jim grey jwg acd acd com larry keys csmes ncsl nist gov oo v fahrvergnugen forever the fact that i need to explain it to you indicates that you probably wouldn t understand anyway
rec.autos	re svx oil change in article c f i undergrad math uwaterloo ca swdwan napier uwaterloo ca donald wan writes my friend brought a subaru svx recently i had drove it for couples times and i think its a great car esp on snow however when she took it to a local subaru dealer for a oil change the bill came out to be about dollars the dealer told us it is because to change the oil filter on a svx it is necessary to disassemble a metal cover under the engine and that took an hour of labour at first we think we are being ripped off so she phone to a dealer in toronto but found out the they are charging roughly the same price so is there any svx owner out there that has the same problem and if the oil change story is true then the engineer of subaru looks pretty stubid to me by the way the car looks great labour prices for car service are very expensive in toronto compared to other parts of ontario for example there are places in ottawa that still charge only hour i ve seen a couple of places charging hour the cheapest i ve heard in toronto is hour swd wan doug zolmer internet dwjz bnr ca disclaimer my opinions only bell northern research ltd ottawa ontario canada conform moooo
rec.autos	re w w or w zowie daedalus stanford edu craig powderkeg deforest writes if you re planning on making long drives the w is probably fine esp in the summer in your w car but if you re making short drives stick to the w several years ago gm was having trouble with the rings sticking on the diesel they traced a cause to the use of w oil they would not honor warranty work if w was used if my memory serves me or was ok d though mark b
rec.autos	re male female mystery re dumbest automotive concepts of all time in article pima inn gap caltech edu wen king cs caltech edu wen king su wrote in article apr iscnvx lmsc lockheed com sharen iscnvx lmsc lockheed com sharen a rund writes apparently you re not a woman my husband hates the auto door locks features but forgets that besides families with children a woman feels safer in a car that locks easily in addition to watching around checking out if anyone s near me when i get to my car never park in a secluded spot etc have my keys ready to open the door so i m not fumbling in my purse looking for them this has me thinking is there a biological reason why women can t put their keys in their pants pockets like men do i have two pockets on the back of each of my pants i put my keys in one and wallent in another many of the pockets even have a botton on them so i can close them securely everything is that much simpler for me why can t women do the same is is biological ie not enough room for a bigger bottom plus keys and a wallet or is it the way they are raised by the parents women s pants rarely have pockets and most when they do are too shallow to use i is very important for a woman to have her keys in her hand when she goes from building to a car it is protect herself from would be assilants by broadcasting that this is someone who as a definite place of safty ie a locked car puting keys and walet looks ugly it breaks the lines and makes you rear look wide as a cows also to have the habits that work for any clothing situation the pruse functions no mater what you are wearing even nude or a bikni a women s suit coat is lucky to have pockets on the outside none on the inside i have men s coats that have as much as pockets this is definitally not fair as one that wears both men s and women s clothes i can tell you women s clothes have few if any funtional pockets when dressed as a man i put my wallet on my inside coat pocket and my keys in a coat outside pocket it is much more covenent than the pants pockets and looks better having a car that unlocks quickly and locks back fast is paramout to a woman s safty men don t see this as a problem a woman is aware of this every time she goes out i e image some red necks yelling at you we are going to fuck you and the out weight you by lbs and have inches in hight on you if you want to find out why a women does something live as one celeste
rec.autos	brake rotors cross drilling 
rec.autos	re saturn s pricing policy in article apr cs brown edu cs cs brown edu hok chung tsang writes moreover if saturn really does reduce the dealer profit margin by then their cars will be even better deals say if the price of a saturn was already below market average for the class of cars then after they reduce the dealer profit it would be below market average it will attract even more people to buy saturns because it would save them money force the competitors to lower their prices to survive but what is saturn s motivation here they re already selling every car they make with multiple shifts in the plant given this what possible motivation could they have to lower prices cheers richard richard welty welty cabot balltown cma com nothing good has ever been reported about the full rotation of a race car about either its pitch or roll axis carroll smith
rec.autos	re new saturn argument in article c p m o noose ecn purdue edu rjwade rainbow ecn purdue edu robert j wade writes ok how about this to argue about why does the sl have a much lower base price than the sc it s over k cheaper i forget the exact amount doesn t it cost more to have the extra doors windows locks motors etc that are in the door perhaps it is just a marketing deal people want the door so they will pay the extra k ok here s what i understand the sl sl sl sw sw was meant to compete with the following cars honda civic toyota tercel sl sl toyota corolla sl sl nissan sentra mazda protoge subaru loyale impreza isuzu stylus geo prizm ford escort mercury tracer mistubishi mirage plymouth dodge colt their core competition is the civic corolla and sentra most of the other models are in the same class but aren t the first cars you would think of i threw in the escort tracer because it has a good amount of japanese technology and has similar reliability stats i didn t include domestic small cars such as the cavalier sunbird shadow sundance tempo and topaz since i think saturn is going after cars that have at least some degree of japanese roots the sc sc was meant to compete against the following cars toyota paseo honda civic si civic coupes del sol si nissan nx nx mazda mx isuzu impulse geo storm ford escort gt if you look at the prices of these cars they re more expensive than they re door counterparts the is good reason for this it is a more upscale and trend driven market even though many of these models are based on sedan platforms their interior etc is good enough to warrant slightly higher prices here are some of the platform derivations i can think of tercel paseo sentra nx nx civic del sol mx not sure on this one stylus impulse storm to illustrate a tercel starts at around while the paseo starts at around even a door tercel will cost less than a door paseo now you might be saying that the tercel doesn t offer the power that some doors offer what i mean is that there is no dr tercel with a comparable powerplant as its sport coupe derivative let s take another example the isuzu stylus xs and impulse xs storm gsi both have the same powerplants a l hp engine but the smaller dr coupes are generally more expensive again this is because the two door sport coupe market is a more fashion oriented and trend setting segment people are willing to pay more money for this type of car in short even though the sc sc may be smaller hence less car it s market orientation dictates a slightly higher price than its mechanically equivalent sedan sl sl version i hope this clears things up a bit mihir shah
rec.autos	apology was re did us drive on the left in a previous article dh q andrew cmu edu daniel u holbrook says i m guessing but i believe in the twenties we probably drove mostly down cattle trails and in wagon ruts i am fairly sure that placement of the steering wheel was pretty much arbitrary to the company at that time by the s there was a very active good roads movement which had its origins actually in the s during the bicycle craze picked up steam in the teens witness the linclon highway association or so and the us highway support act real name something different in that first pledged federal aid to states and counties to build decent roads also the experience of widespread use of trucks for domestic transport during ww convinced the government that good raods were crucial to our national defense anyway by the s there were plenty of good roads at least around urban areas and they were rapidly expanding into the countryside this was the era after all of the first auto touring fad the motel the auto camp ground etc two good books on the subject spring to mind warren belasco america on the road title may not be exact author is and another called the devil wagon in god s country author i forget also any of john flink s or john bell rae s auto histories i m sorry as i have never heard of any of this guess they don t think it s important enough for a classroom and i was going on what i ve seen in pics some movies real nice scource there huh i just always recall thinking that good roads of asphalt didn t come around til the interstate hiway act or whatever they called it s and that wood and cobblestone roads were fairly rare up through the depression except in overpopulated places like england and us cities obviously netwisdom says i am wrong as to placement of the steering wheel being arbitrary by the early teens there were virtually no american cars that did not have the wheel on the left in the early days cars had the wheel on the left on the right and even in the middle as well as sometimes having a tiller instead of a wheel this was standardized fairly early on though i don t know why i knew it was almost always done but i knew of no reason that it might not be done the other way by desoto for their car seems like they had some other deviations from the norm too at times dan dh q andrew cmu edu carnegie mellon university applied history world history strides on from catastrophe to catastrophe whether we can comprehend and prove it or not oswald spengler thanx for corrrecting me and again i aplogize for harebraned post drew
rec.autos	re most bang for between and jmh hopper virginia edu jeffrey hoffmeister writes in article apr progress com damelio progress com stephen d amelio writes rjwade rainbow ecn purdue edu robert j wade writes there s only one car that really fits your needs it s spelled liter mustang sports car butm my mothers gt was considered a sports car i still can t quite figure that out since when do plastic add ons make a car a sports car jeff we re talking about insurance agents from bumf k illinois st farm is hq ed in bloomington what the hell do they know about cars both are sports cars chintan amin the university of illinois urbana champaign mail llama uiuc edu because he was human because he had goodness because he was moral they called him insane peart cinderella man
rec.autos	re do it yourself front end alignment possible davidd lonestar utsa edu david de leon writes in article bu edu selick csa bu edu steven selick writes i ve got an plymouth colt that i d like to do a front end alignment on is it possible to do without all of the fancy schmancy gadgets the pros have how steve no no no no if you do so you are putting the lives of others on the road at consider able risk why do you think mechanics are ase certified anyway you put it you need those fancy scmancy gadgets awww right you want all the home mechanics lined up against a wall and shot eh bull pucky you chicken read the service manual and get your head out of the sand certainly there are tools for the job that are cheaper than an alignment rack that do the job as competently albeit not as swiftly if not more accurate due to the natural pride an owner mechanic places on his work you can do an acceptable job of aligning a car using simple tools and some imaginative work that would never have the effect of endangering anyones life the worst that happens is that your tires wear oddly well you could have the wheels aiming totally pigeon toed and not be able to steer the car raise your hands those that think their vision is so poor that they would screw up this badly i bet you are one of those people that feels that honing a cylinder wall with sand paper will kill millions of people it aint magic go take the certification course and look at the people that have never learned to add in their whole life that are taking the certification btw i am disgusted at the colt and some of the other chrysler offerings because they go out of alignment if you sneaze at them my chrysler laser similar to the daytona a reskinned colt needed a realignment every months bolt a good grade x to each wheel using a carefully welded spacer jig measure toe in adjust to manufacturer specs camber a bit more difficult to adjust and measure i used a micrometer to measure the space between the rim and a funky bent up pipe that could be placed on upper and lower portions of the rim on the inside of wheel hard to explain this same tool could be used instead of the x s i had made these tools up right after the last alignment done professionally so i had a reference that the original poster might not ciao mark
rec.autos	re dumbest automotive concepts of all time seningen maserati ross com mike seningen mph speedos esp the electronic ones the digital dash of the cougars with the large analog clock in the middle of the dash everything was digital except the stinking clock the funny thing about the digital dash t bird with the mph speedo limit was that if you pressed the button to convert to kilometers it would read all the way up to kph at this point the stock anemic would get short of breath this of course was equivalent to about mph hehe i bet i really coulda confused this thing if i d toyed with the engine and rolled the stupid thing the digits were limited to i ve gotta agree with ya on the analog clock w digital dash though my girlfriend had a turbocoupe with a digital clock and analog gauges radio go figure usenet constellation ecn uoknor edu usenet administrator i love the keyless entry on my t bird it s great for those times that i had to stop to put air in my tires i could get out and lock the door with the engine running while i ran around to air up the tire it also i had a great feature on my t bird i could pull the key out and leave the ignition on this scared the hell out of me the first time it happened but i kinda grew to like it musta been a bad key copy or something mark novakovic there is no god up in the sky tonight no sign of heaven anywhere in sight nin jesus loves ya blow me in tribute to my former area supervisor jim bonneau and the infamous bonneau math demoted not departed ministry
rec.autos	re do trains have radar hhtra usho hou chevron com t m haddock writes i came upon a train parked on a trestle with its locomotive sitting directly over the northbound lanes just as i passed from underneath the trestle my radar detector went into full alert all lights lit and all chirps beeps and buzzes going strong could this have been caused by the train s radio or what recently manufactured locomotives have wheel slip detection systems that use frequencies shared with police radar i forget which band these will set off your radar detector if you get close enough though i believe the range is pretty short btw railroad police sometimes use radar to check for speeding trains just like regular police check for speeding cars although the intent here is for safety not revenue collection unlike with cars
rec.autos	re braindead drivers who don t look ahead in article zdem a hgo zdem a hgo hou amoco com donna martz writes so i block the would be passers not only for my own good but theirs as well even though they are often too stupid to realize it as a rule of philosophy i don t feel particularly sorry when somebody gets offed by his own stupidity but it does worry me when some idiot is in a position to cash in my chips too h h mayo well aren t we just mr altruism himself just what the world needs another frustrated self appointed traffic cop well if you want to stick the nose of your car up the ass of a foot semi i suppose it s your neck however i m not going to let you kill me in the bargain if you get frustrated by somebody delaying your inevitable death due to less that wise driving practices then tough thank god for the fourth of july for it yearly rids the earth of a considerable load of fools mark twain
rec.autos	re changing oil by self in article apr lmpsbbs comm mot com sheinfel ssd comm mot com aviad sheinfeld writes do you think i can use a electric drill change to a suitable bit to turn it out if i can succeed can i re tighten it not too tight is it safe without oil leak tighten the bolt to the specified torque in your service manual that way it won t leak strip break etc hopefully thank you very much in advance winson aviad you can avoid these problems entirely by installing an oil drain valve in place of the bolt i have one on both of my cars there have been no leaks in miles combined miles on both cars ron deblock rdb homxb att com that s a number in rdb not letter l at t bell labs somerset nj usa
rec.autos	re aftermarket air conditioners in article qcaueinnmt axon cs unc edu andrew brandt writes i looked into getting a c installed on my honda crx si the unit is plus shipping installation is like hours on top of that this is a hunk of change does anyone know any place that does aftermarket a c installation not with a honda a c unit but some third party unit i cannot seem to find anyone who can put a third party a c unit in a honda i am in no carolina so i would prefer some place nearby but any references would be handy thx andy brandt cs unc edu sorry i can t help you with your question but i do have a comment to make concerning aftermarket a c units i have a frost king or frost temp forget which aftermarket unit on my cavalier and am quite unhappy with it the fan is noisy and doesn t put out much air i will never have an aftermarket a c installed in any of my vehicles again i just can t trust the quality and performance after this experience les les bartel i m going to live forever intergraph corporation or die trying electronics division ljbartel ingr com or ljbartel naomi b b ingr com
rec.autos	re braindead drivers who don t look ahead i agree that if traffic is all blocked up and you want to pass you might not feel like moving over for someone behind you because you don t want to give them that one car length when they should just wait like you are but if you re one of those people that just sit s behind the person and doesn t flash them with the high beams or pull left and flash them or ride their bumper or otherwise tell them that you do in fact want to go by and you re not just drafting them then get the hell out of the way of someone who will i especially hate it when you flash someone at the back of a line and they don t pass it on and there s also the issue of some cars being more intimidating to get people out of the way than others for instance gts look pretty mean in a rearview mirror at night with the foglights on there have been plenty of times when i ve broken up a pack that a second in line hyundai has been behind for miles you just need to know how to get their attention i d like to see you use this method on a couple of semi drivers if they see you they usually acknowledge by sticking their hand out the window with their middle finger extended because it is also obvious to them that there is no clear lane ahead h h m
rec.autos	my day in court results a while back i asked for help in defending a traffic ticket i received in short the ticket was for not stopping at a stop sign given the conditions i could not stop in time and decided instead of sliding right through the intersection i would complete my right turn and avoid a possible accident a police cruiser happened to be approaching the intersection from my left and gave me the ticket the officer said the only reason that you even slowed down in the first place was that you saw me approaching otherwise you would have bombed right through i would like to thank all those who responded favorably to my request for help to all of those who told me to bite the bullet and pay the fine phghghghgh the judge sided with me and decided that in this case not stopping was the safest thing to do and found me not guilty the officer s statement and my account of the conditions at the time very slippery backed by newpaper weather conditions were the factors what made the judge decide on his verdict moral if you have never been to court before and you think you have a case go for it it is a very interesting process and it is there for your benefit exercise your rights trev name trevor paquette landmark ita fahrvergnuegen email tpaquette ita lgc com calgary alberta canada visitor from cyberspace g renegade of virtual reality include disclaimer h o o
rec.autos	re saturn manual transmission problem i had exactly the same problem with a horizon third gear would just disengage engine would rev up kind of disconcerting i sold that car quite a few years back but the memory of that tranny sticks with me it also had a clutch chatter in first that the dealer could not fix if the lemon law had been in place then that car would have been covered i have had several jap cars since then figuring the horizon was my contribution to the american auto companies and have never seen any bad behavior with the exception of a toyota tercel with a bit of clutch chatter that they did fix on the first try anyway from that day forward i have sworn that i would never purchase another american car with a standard american manufacturers don t have a clue on how to manufacture five speed transmissions and have been doing the automatics much longer and on many more cars however i hate automatics so i am still buying jap cars not sure this is any help but other cars do this too cheers larry larry rogers larry rogers dg com big brother larry boris webo dg com is watching data general the opinions contained herein are my own and do not reflect the opinions of data general or anyone else but they should sometimes we are the windshield sometimes we are the bug dire straits
rec.autos	regal fiberglass parts i have a regal and i am interested in buying a fiberglass hood trunk and bumpers for it does anybody know of a company who makes fiberglass parts for regals thanks in advance mike
rec.autos	re do trains have radar in article x fvt b dixie com jgd dixie com john de armond writes hhtra usho hou chevron com t m haddock writes while taking an extended easter vacation i was going north on i somewhere between centerville tx and dallas tx and i came upon a train parked on a trestle with its locomotive sitting directly over the northbound lanes there appeared to be movement within the cab and out of curiosity i slowed to to get a better look just as i passed from underneath the trestle my radar detector went into full alert all lights lit and all chirps beeps and buzzes going strong i thought i had been nailed good but no police materialized some but not all locomotives have doppler speedometers the radar head is mounted looking down at the ground to minimize intereference sent and received but looking tangentally at a wheel these are low power units and typically won t trigger radar detectors unless an unusual situation such as yours arises john john de armond wd oqc interested in high performance mobility performance engineering magazine tm interested in high tech and computers marietta ga send ur snail mail address to jgd dixie com perform dixie com for a free sample mag need usenet public access in atlanta write me for info on dixie com this makes sense radar pointed down because almost every train i pass head on that triggers my radar detector does so more just after i have passed the front of the engine i get a little of the reflections as i am approaching and the instant i get to the side of the first engine the detector receives a fairly strong signal for a short time it happens with just about every train i see
rec.autos	re electronic odometers was used bmw question i consulted with someone working on an electronic odometer the design was to use a microprocessor based system to write a somewhat ofuscated pattern into an eeprom the idea was to make the circuit difficult to program arbitrary values into the eeprom the secondary purpose acutally the primary purpose from the standpoint of practicality was to distributed the writes so as to avoid exceeing the maximum number of writes fof the eeprom being used the microprocessor also ignored pulses coming from the hall effect at a rate any higher than mph so as to make spoofing the reading by bench pulsing at least somewhat undesirable this was for an automobile that was not expected to ever exceed mph in operation the case of course might not be the same for your rx the ecm modules of some cars do indeed store info about conditions under which cars have been operated since steering angle and velocity data etc is available it would not be difficult to collect all sorts of interesting demographic information about the drivers use of the car i am not aware of any manufacturer currently trying to enforce warranty restrictions based on reading out use data from the ecm while it could be a potential invasion of your privacy for manufacturers to have access to data about your driving style it could also provide valuable information from actual field use conditions to help engineer more appropriate cars i personally wouldn t mind the dealer collecting my driving demographics as long as it is done in an anonymous fashion bill mayhew neoucom computer services department rootstown oh usa phone wtm uhura neoucom edu n wed
rec.autos	re open letter to nissan in a previous article smorris sumax seattleu edu steven a morris says or here s an even better suggestion why don t you guys go ahead and buy the rest of fuji heavy industries subaru and put either an in line or v into the legacy wd wagon i d buy the legacy in a minute if it had a nissan engine instead of the horizontal that they seem sentimentally attached to what do you find so wrong with the flat in the subaru s or the flat for that matter dod darkman the significant problems we face cannot be solved at the same level of thinking we were at when we created them albert einstein the eternal champion
rec.autos	after market cruise controls specific questions howdy i m a little new to this newsgroup but i would like to tap some of the knowledge and expertise available here the subject after market cruise controls the background i recently broke my ankle in a road bicycling accident places five screws yuk in two weeks i will be returning to texas my home from my school byu in provo utah as you can imagine trying to drive nearly miles with a broken right ankle isn t just the epitome of a good time my car does not have a cruise control so i would have to do all the pedalling ha ha with my messed up ankle my question what is the general opinion of after market cruise control units i realize that a cheap cc cruise control from say pep boys isn t going to be as good as a factory or professionally installed unit if there is such a thing and i uderstand that i probably can t expect much in the way of accuracy looks and that sort of thing but anything s gotta be better than trying to drive with a hosed ankle i have a jeep cherokee speed standard l engine with kettering sp ignition y know distributor cap rotor that set up not electronic maybe you could ve guessed it being an but i m just trying to give information as completly as i can i found a cc unit for bucks it seems to use the vehicles vacuum system instead of an electric servor motor is this good or bad if i did buy this cc which vacuum hose should i tap it has two speed sensors one magnetic and one that gets a signal from the negative side of the distributor kinda like a tach pick up or so i understand i can use either one which is best the manual says i read it in the store today that the magnetic axle set up is more accurate but harder to install is there really a big difference it has a sensor for the brake pedal just like other ccs but does not have a sensor for the clutch pedal so if i wasn t paying real close attention i might push the clutch in while the cruise is trying to get the speed up which would wind the engine up kinda high until i got my wits about me and turned the thing off i m pretty coordinated so this doesn t bother me if it were for my girlfriends car then it would bother me but i m ok with it the installation also calls for an attachment to a steady on brake signal and a switched on brake signal i think i can get a switched brake signal from the correct side of the brake light blade fuse am i right but i m not sure where to get the steady on brake signal or for that matter what exactly it is any ideas as to what the manufaturer wants and where to get it i think i can figure the other things out like how to hook up the negative side tach type sensing gizmo and the cabin control unit and the ground and all that miscellaneous business but i need a little help with is it worth the money and safety risk if any for such a device is there any particularly good after market cc are professionally installed ccs signifacantly better and worth the cabbage if the unit i saw sorry no manufacturer or model number just that it is at pep boy and its is sufficient for my simple needs how do i get the thing installed properly specifically the questions above my father and i built a veep volkswagen powered jeep cj a when i was in high school so i consider myself fairly good with tools electronics and cars so the installation doesn t scare me i just want to be certain that i get the thing installed correctly as my cherokee is just a wee bit more complicated than my veep i appreciate your time in reading my post and i would appreciate any expertise or opinion anybody has on the subject if you would like to share some of your wisdom please email as i don t get over this group very often but i check my mail all the time again thanks for any help anyone may have mike wieda mikew canc byu edu
rec.autos	re did us drive on the left rob reilly whips and their tempers initially all cars were built with the driver s controls on the right because that s the way people drove buggies so the this is just not so many of the earliest cars had their steering controls in the center of the vehicle and there is no discernible pattern of left or right hand steering controls until a few years into the th century when in america at least left hand wheels became the pattern the mule team or horses i imagine explanation however seems to have some merit dan dh q andrew cmu edu carnegie mellon university applied history this coffee plunges into the stomach the mind is aroused and ideas pour forth like the battalions of the grand army on the field of battle memories charge at full gallop the light cavalry of comparisons deploys itself magnificently the artillery of logic hurry in with their train of ammunition flashes of wit pop up like sharp shooters honore de balzac cups day
rec.autos	re license plates nissan in a previous article edf marshall wvnet edu says hi i m interested in getting the list for license plate numbers if anyone has a listing i d appreciate getting a copy of it thanks you must be incredibly bored have you considered reading the phone book dod darkman the significant problems we face cannot be solved at the same level of thinking we were at when we created them albert einstein the eternal champion
rec.autos	re isuzu amigo opinions sought in a previous article sdexter shl com scott dexter says i like the amigo i would like some feedback any and all feedback appreciated yet another jeep wannabe designed for yuppies who will never take it off road but want to look outdoorsey dod darkman the significant problems we face cannot be solved at the same level of thinking we were at when we created them albert einstein the eternal champion
rec.autos	re license plates in a previous article edf marshall wvnet edu says hi i m interested in getting the list for license plate numbers if anyone has a listing i d appreciate getting a copy of it thanks you must be incredibly bored have you considered reading the phone book dod darkman the significant problems we face cannot be solved at the same level of thinking we were at when we created them albert einstein the eternal champion
